datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,AE,AECO,895.956,False
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPAPT,3436.990,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPIMP,3085.051,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPKPT,470.175,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,AEP,AEPOPT,7128.056,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,AP,AP,4431.631,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,BC,BC,2679.700,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,CE,CE,10411.932,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,DAY,DAY,1724.710,False
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,DEOK,DEOK,2649.379,False
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,SERC,SOUTH,DOM,DOM,12815.274,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,DPL,DPLCO,1569.413,False
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,DUQ,DUQ,1202.624,False
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,DPL,EASTON,18.955,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,SERC,WEST,EKPC,EKPC,1169.609,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,JC,JC,1989.405,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,ME,ME,1393.780,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,ATSI,OE,6033.262,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,OVEC,OVEC,27.000,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,WEST,ATSI,PAPWR,474.176,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,PE,PE,3467.778,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,PEP,PEPCO,2188.623,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,PL,PLCO,3514.495,False
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,PN,PN,1532.578,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,PS,PS,4226.765,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,RECO,RECO,132.969,False
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,PEP,SMECO,272.021,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,PL,UGI,81.731,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RFC,MIDATL,AE,VMEU,72.996,True
10/1/2025 4:00:00 AM,10/1/2025 12:00:00 AM,RTO,RTO,RTO,RTO,79097.034,False
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,AE,AECO,847.152,False
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPAPT,3300.460,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPIMP,3016.725,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPKPT,455.116,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,AEP,AEPOPT,6875.059,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,AP,AP,4260.760,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,BC,BC,2528.227,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,CE,CE,9782.110,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,DAY,DAY,1625.709,False
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,DEOK,DEOK,2473.982,False
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,SERC,SOUTH,DOM,DOM,12380.193,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,DPL,DPLCO,1485.608,False
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,DUQ,DUQ,1179.936,False
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,DPL,EASTON,17.884,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,SERC,WEST,EKPC,EKPC,1191.787,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,JC,JC,1862.668,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,ME,ME,1329.189,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,ATSI,OE,5897.462,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,OVEC,OVEC,24.000,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,WEST,ATSI,PAPWR,453.253,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,PE,PE,3279.550,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,PEP,PEPCO,2092.497,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,PL,PLCO,3322.587,False
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,PN,PN,1481.653,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,PS,PS,3978.047,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,RECO,RECO,124.364,False
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,PEP,SMECO,251.397,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,PL,UGI,76.970,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RFC,MIDATL,AE,VMEU,70.970,True
10/1/2025 5:00:00 AM,10/1/2025 1:00:00 AM,RTO,RTO,RTO,RTO,75665.315,False
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,AE,AECO,819.864,False
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPAPT,3225.028,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPIMP,2969.646,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPKPT,443.977,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,AEP,AEPOPT,6702.420,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,AP,AP,4149.501,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,BC,BC,2444.681,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,CE,CE,9377.721,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,DAY,DAY,1566.710,False
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,DEOK,DEOK,2366.598,False
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,SERC,SOUTH,DOM,DOM,12095.122,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,DPL,DPLCO,1439.507,False
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,DUQ,DUQ,1131.082,False
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,DPL,EASTON,17.411,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,SERC,WEST,EKPC,EKPC,1185.024,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,JC,JC,1774.665,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,ME,ME,1286.860,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,ATSI,OE,5725.928,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,OVEC,OVEC,25.000,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,WEST,ATSI,PAPWR,444.915,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,PE,PE,3151.151,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,PEP,PEPCO,1999.328,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,PL,PLCO,3264.015,False
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,PN,PN,1462.277,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,PS,PS,3805.443,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,RECO,RECO,119.016,False
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,PEP,SMECO,241.510,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,PL,UGI,72.862,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RFC,MIDATL,AE,VMEU,69.788,True
10/1/2025 6:00:00 AM,10/1/2025 2:00:00 AM,RTO,RTO,RTO,RTO,73377.050,False
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,MIDATL,AE,AECO,802.646,False
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPAPT,3188.685,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPIMP,2957.547,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPKPT,436.897,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,WEST,AEP,AEPOPT,6620.169,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,WEST,AP,AP,4097.469,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,MIDATL,BC,BC,2382.484,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,WEST,CE,CE,9041.714,True
10/1/2025 7:00:00 AM,10/1/2025 3:00:00 AM,RFC,WEST,DAY,DAY,1527.709,False
