datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
11/23/2025 4:00:00 AM,11/22/2025 11:00:00 PM,MIDATL,0.000
11/23/2025 4:00:00 AM,11/22/2025 11:00:00 PM,OTHER,0.000
11/23/2025 4:00:00 AM,11/22/2025 11:00:00 PM,RFC,0.000
11/23/2025 4:00:00 AM,11/22/2025 11:00:00 PM,RTO,0.000
11/23/2025 4:00:00 AM,11/22/2025 11:00:00 PM,SOUTH,0.000
11/23/2025 4:00:00 AM,11/22/2025 11:00:00 PM,WEST,0.000
11/23/2025 3:00:00 AM,11/22/2025 10:00:00 PM,MIDATL,0.000
11/23/2025 3:00:00 AM,11/22/2025 10:00:00 PM,OTHER,0.000
11/23/2025 3:00:00 AM,11/22/2025 10:00:00 PM,RFC,0.000
11/23/2025 3:00:00 AM,11/22/2025 10:00:00 PM,RTO,0.000
11/23/2025 3:00:00 AM,11/22/2025 10:00:00 PM,SOUTH,0.000
11/23/2025 3:00:00 AM,11/22/2025 10:00:00 PM,WEST,0.000
11/23/2025 2:00:00 AM,11/22/2025 9:00:00 PM,MIDATL,0.000
11/23/2025 2:00:00 AM,11/22/2025 9:00:00 PM,OTHER,0.000
11/23/2025 2:00:00 AM,11/22/2025 9:00:00 PM,RFC,0.000
11/23/2025 2:00:00 AM,11/22/2025 9:00:00 PM,RTO,0.000
11/23/2025 2:00:00 AM,11/22/2025 9:00:00 PM,SOUTH,0.000
11/23/2025 2:00:00 AM,11/22/2025 9:00:00 PM,WEST,0.000
11/23/2025 1:00:00 AM,11/22/2025 8:00:00 PM,MIDATL,0.000
11/23/2025 1:00:00 AM,11/22/2025 8:00:00 PM,OTHER,0.000
11/23/2025 1:00:00 AM,11/22/2025 8:00:00 PM,RFC,0.000
11/23/2025 1:00:00 AM,11/22/2025 8:00:00 PM,RTO,0.000
11/23/2025 1:00:00 AM,11/22/2025 8:00:00 PM,SOUTH,0.000
11/23/2025 1:00:00 AM,11/22/2025 8:00:00 PM,WEST,0.000
11/23/2025 12:00:00 AM,11/22/2025 7:00:00 PM,MIDATL,0.000
11/23/2025 12:00:00 AM,11/22/2025 7:00:00 PM,OTHER,0.000
11/23/2025 12:00:00 AM,11/22/2025 7:00:00 PM,RFC,0.000
11/23/2025 12:00:00 AM,11/22/2025 7:00:00 PM,RTO,0.000
11/23/2025 12:00:00 AM,11/22/2025 7:00:00 PM,SOUTH,0.000
11/23/2025 12:00:00 AM,11/22/2025 7:00:00 PM,WEST,0.000
11/22/2025 11:00:00 PM,11/22/2025 6:00:00 PM,MIDATL,0.000
11/22/2025 11:00:00 PM,11/22/2025 6:00:00 PM,OTHER,0.000
11/22/2025 11:00:00 PM,11/22/2025 6:00:00 PM,RFC,0.000
11/22/2025 11:00:00 PM,11/22/2025 6:00:00 PM,RTO,0.000
11/22/2025 11:00:00 PM,11/22/2025 6:00:00 PM,SOUTH,0.000
11/22/2025 11:00:00 PM,11/22/2025 6:00:00 PM,WEST,0.000
11/22/2025 10:00:00 PM,11/22/2025 5:00:00 PM,MIDATL,0.000
11/22/2025 10:00:00 PM,11/22/2025 5:00:00 PM,OTHER,0.000
11/22/2025 10:00:00 PM,11/22/2025 5:00:00 PM,RFC,0.000
